Dimensión_ID,Dimensión,Subdimensión_ID,Subdimensión,Multidisciplina_ID,Multidisciplina,Questão_ID,Questão,Elemento_ID,Elemento_Descrição,Tipo_Elemento,Nível,Puntuación,Tipo_Respuesta,Instrucciones
,,,,,,5,RECURSOS INSTITUCIONAIS,5,RECURSOS INSTITUCIONAIS,Questão,4,6.0,,
I,Dimensão Recursos institucionais,,,,,,,I,Dimensão Recursos institucionais,Dimensão,1,,,
I,Dimensão Recursos institucionais,I.a,Talento humano,,,,,I.a,Talento humano,Subdimensão,2,,,
I,Dimensão Recursos institucionais,I.a,Talento humano,,,1,A. Sim B. Não Informação adicional necessária Informação adicional necessária,1,A. Sim B. Não Informação adicional necessária Informação adicional necessária,Questão,4,,Resposta única,
I,Entre 81 e 90,,,,,,,I,Entre 81 e 90,Dimensão,1,,,
I,Dimensão Recursos institucionais,I.a,Talento humano,,,6,RECURSOS INSTITUCIONAIS,6,RECURSOS INSTITUCIONAIS,Questão,4,2.0,,
I,Dimensão Recursos institucionais,I.a,Talento humano,,,0,"pontuação máxima Do total de pessoas declarado na pergunta 2.1, quantas correspondiam a homens?",0,"pontuação máxima Do total de pessoas declarado na pergunta 2.1, quantas correspondiam a homens?",Questão,4,4.0,Resposta numérica,Informe um valor numérico sem pontos ou símbolos (apenas dígitos). Indique a quantidade solicitada como número inteiro.
I,Dimensão Recursos institucionais,I.a,Talento humano,,,1,"Durante o período medido, quantas pessoas foram capacitadas em temas relacionados à inovação?",1,"Durante o período medido, quantas pessoas foram capacitadas em temas relacionados à inovação?",Questão,4,,Resposta numérica,Use as informações do período medido (1/06/2024 a 31/05/2025). Informe um valor numérico sem pontos ou símbolos (apenas dígitos). Indique a quantidade solicitada como número inteiro.
I,Dimensão Recursos institucionais,I.a,Talento humano,,,0,"Durante o período medido, foram realizadas capacitações relacionadas à inovação para as pessoas funcionárias da instituição?",0,"Durante o período medido, foram realizadas capacitações relacionadas à inovação para as pessoas funcionárias da instituição?",Questão,4,,Resposta única,Use as informações do período medido (1/06/2024 a 31/05/2025).
I,Dimensão Recursos institucionais,I.a,Talento humano,,,0,"Do total de pessoas declarado na pergunta 2.1, quantas correspondiam a mulheres?",0,"Do total de pessoas declarado na pergunta 2.1, quantas correspondiam a mulheres?",Questão,4,,Resposta numérica,Informe um valor numérico sem pontos ou símbolos (apenas dígitos). Indique a quantidade solicitada como número inteiro.
I,Dimensão Recursos institucionais,I.a,Talento humano,,,0.5,Que mecanismo de apoio ou fomento a capacitações em inovação a instituição realizou no período mencionado?,0.5,Que mecanismo de apoio ou fomento a capacitações em inovação a instituição realizou no período mencionado?,Questão,4,,Resposta única,Responda conforme o enunciado oficial do questionário.
I,Dimensão Recursos institucionais,I.a,Talento humano,,,0,Qual foi o orçamento total em capacitações executado pela instituição durante 2024?,0,Qual foi o orçamento total em capacitações executado pela instituição durante 2024?,Questão,4,,Resposta numérica,"Informe um valor numérico sem pontos ou símbolos (apenas dígitos). Informe os montantes em pesos chilenos correntes do período, sem separadores."
I,Dimensão Recursos institucionais,I.a,Talento humano,,,7,RECURSOS INSTITUCIONAIS,7,RECURSOS INSTITUCIONAIS,Questão,4,4.0,,
I,Dimensão Recursos institucionais,I.a,Talento humano,,,1,"Do orçamento executado em capacitações durante 2024, quanto correspondeu a capacitações em inovação?",1,"Do orçamento executado em capacitações durante 2024, quanto correspondeu a capacitações em inovação?",Questão,4,,Resposta numérica,"Informe um valor numérico sem pontos ou símbolos (apenas dígitos). Informe os montantes em pesos chilenos correntes do período, sem separadores. Indique a quantidade solicitada como número inteiro."
I,Dimensão Recursos institucionais,I.a,Talento humano,,,0.5,O Plano Anual de Capacitação 2025 da instituição inclui capacitações em inovação?,0.5,O Plano Anual de Capacitação 2025 da instituição inclui capacitações em inovação?,Questão,4,,Resposta única,Responda conforme o enunciado oficial do questionário.
I,Dimensão Recursos institucionais,I.a,Talento humano,,,0,pontuação máxima,0,pontuação máxima,Questão,4,,,
