sistema,ano,dimensao_id_original,dimensao_padrao,subdimensao,questao,elemento,nivel,tipo_elemento,texto_completo,pontuacao_maxima_dimensao,pontuacao_maxima_capacidade_chave,nome_variavel,numero_questao,respuesta,pontuacao_maxima_questao,pontuacao_item
chile,2025,I,recursos_institucionais,Talento humano,"Durante o período analisado, quantas pessoas trabalharam na instituição?","Durante o período analisado, quantas pessoas trabalharam na instituição?",4,Questão,"Talento humano Durante o período analisado, quantas pessoas trabalharam na instituição? Durante o período analisado, quantas pessoas trabalharam na instituição?",20,6.0,Multidiciplina,1A,Respuesta numérica. Levantamiento administrativo.,1,0
chile,2025,I,recursos_institucionais,Talento humano,"Durante o período analisado, quantos programas de formação ou profissões diferentes estavam presentes na instituição?","Durante o período analisado, quantos programas de formação ou profissões diferentes estavam presentes na instituição?",4,Questão,"Talento humano Durante o período analisado, quantos programas de formação ou profissões diferentes estavam presentes na instituição? Durante o período analisado, quantos programas de formação ou profissões diferentes estavam presentes na instituição?",20,6.0,Multidiciplina,1,A. Entre 1 y 10 B. Entre 11 y 20 C. Entre 21 y 30 D. Entre 31 y 40 D. Entre 31 y 40 E. Entre 41 y 50 F. Entre 51 y 60 G. Entre 61 y 70 H. Entre 71 y 80 I. Entre 81 y 90 J. Más de 90,1,0.4; 0.4; 0.6; 0.6; 0.6; 0.8; 0.8; 0.8; 1; 1
chile,2025,I,recursos_institucionais,Talento humano,"Durante o período analisado, a instituição contava com pessoas dedicadas principalmente a funções relacionadas à inovação pública, como design de serviços, experiência do usuário, ciência comportamental ou gestão de mudanças?","Durante o período analisado, a instituição contava com pessoas dedicadas principalmente a funções relacionadas à inovação pública, como design de serviços, experiência do usuário, ciência comportamental ou gestão de mudanças?",4,Questão,"Talento humano Durante o período analisado, a instituição contava com pessoas dedicadas principalmente a funções relacionadas à inovação pública, como design de serviços, experiência do usuário, ciência comportamental ou gestão de mudanças? Durante o período analisado, a instituição contava com pessoas dedicadas principalmente a funções relacionadas à inovação pública, como design de serviços, experiência do usuário, ciência comportamental ou gestão de mudanças?",20,6.0,Multidiciplina,2,Resposta única. A. Sim; B. Não (Ir para a questão 3),1,1
chile,2025,I,recursos_institucionais,Talento humano,"Quantas pessoas em sua instituição estavam envolvidas principalmente em funções relacionadas à inovação pública, como design de serviços, experiência do usuário, ciência comportamental ou gestão de mudanças?","Quantas pessoas em sua instituição estavam envolvidas principalmente em funções relacionadas à inovação pública, como design de serviços, experiência do usuário, ciência comportamental ou gestão de mudanças?",4,Questão,"Talento humano Quantas pessoas em sua instituição estavam envolvidas principalmente em funções relacionadas à inovação pública, como design de serviços, experiência do usuário, ciência comportamental ou gestão de mudanças? Quantas pessoas em sua instituição estavam envolvidas principalmente em funções relacionadas à inovação pública, como design de serviços, experiência do usuário, ciência comportamental ou gestão de mudanças?",20,6.0,Multidiciplina,2.1,Si contestó que sí en la pregunta anterior. Respuesta numérica.,1,1
chile,2025,I,recursos_institucionais,Talento humano,"Das pessoas declaradas na questão 2.1, quantas são mulheres?","Das pessoas declaradas na questão 2.1, quantas são mulheres?",4,Questão,"Talento humano Das pessoas declaradas na questão 2.1, quantas são mulheres? Das pessoas declaradas na questão 2.1, quantas são mulheres?",20,6.0,Multidiciplina,2.2,Si contestó que sí en la pregunta 2. Respuesta numérica,0,0
chile,2025,I,recursos_institucionais,Talento humano,"Das pessoas declaradas na questão 2.1, quantas são homens?","Das pessoas declaradas na questão 2.1, quantas são homens?",4,Questão,"Talento humano Das pessoas declaradas na questão 2.1, quantas são homens? Das pessoas declaradas na questão 2.1, quantas são homens?",20,6.0,Multidiciplina,2.3,Si contestó que sí en la pregunta 2. Respuesta numérica,0,0
chile,2025,I,recursos_institucionais,Talento humano,"Durante o período analisado, foram realizadas sessões de treinamento relacionadas à inovação para os funcionários da instituição?","Durante o período analisado, foram realizadas sessões de treinamento relacionadas à inovação para os funcionários da instituição?",4,Questão,"Talento humano Durante o período analisado, foram realizadas sessões de treinamento relacionadas à inovação para os funcionários da instituição? Durante o período analisado, foram realizadas sessões de treinamento relacionadas à inovação para os funcionários da instituição?",20,6.0,Capacitação em inovação,3,Resposta única. A. Sim; B. Não (Ir para a questão 4),0,0
chile,2025,I,recursos_institucionais,Talento humano,"Durante o período analisado, quantas pessoas receberam treinamento em temas relacionados à inovação?","Durante o período analisado, quantas pessoas receberam treinamento em temas relacionados à inovação?",4,Questão,"Talento humano Durante o período analisado, quantas pessoas receberam treinamento em temas relacionados à inovação? Durante o período analisado, quantas pessoas receberam treinamento em temas relacionados à inovação?",20,6.0,Capacitação em inovação,3.1,Si contestó que sí en la pregunta anterior.,1,1
chile,2025,I,recursos_institucionais,Talento humano,Que mecanismos de apoio ou promoção da formação em inovação a instituição implementou durante o período mencionado?,Que mecanismos de apoio ou promoção da formação em inovação a instituição implementou durante o período mencionado?,4,Questão,Talento humano Que mecanismos de apoio ou promoção da formação em inovação a instituição implementou durante o período mencionado? Que mecanismos de apoio ou promoção da formação em inovação a instituição implementou durante o período mencionado?,20,6.0,Capacitação em inovação,3.2,"Se você respondeu sim à pergunta 3, selecione uma única resposta: A. Financiamento para treinamento. B. Alocação de horas de trabalho. C. Horário de trabalho flexível. D. Financiamento, horário de trabalho flexível e alocação de horas de trabalho para treinamento.",0.5,0.3; 0.3; 0.2; 05
chile,2025,I,recursos_institucionais,Talento humano,Qual foi o orçamento total para treinamento executado pela instituição durante o ano de 2024?,Qual foi o orçamento total para treinamento executado pela instituição durante o ano de 2024?,4,Questão,Talento humano Qual foi o orçamento total para treinamento executado pela instituição durante o ano de 2024? Qual foi o orçamento total para treinamento executado pela instituição durante o ano de 2024?,20,6.0,Capacitação em inovação,3.3,Resposta númerica,0,
